,Maze,Metric,Alternative,P Value,Null Hypothesis
319,Woods102-v0,population_list,larger,0.03519598108072374,Accept
320,Woods102-v0,population_list,smaller,0.9648040189192763,Accept
321,Woods102-v0,reliable_list,two-sided,2.5019072844922655e-58,Reject
322,Woods102-v0,reliable_list,larger,1.2509536422461328e-58,Reject
323,Woods102-v0,reliable_list,smaller,1.0,Accept
324,Woods102-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
325,Woods102-v0,pees_matching_non_aliased_states_list,larger,,Accept
326,Woods102-v0,pees_matching_non_aliased_states_list,smaller,,Accept
327,Woods102-v0,mean_reliable_classifier_specificity_list,two-sided,1.5734350716702e-09,Reject
328,Woods102-v0,mean_reliable_classifier_specificity_list,larger,7.867175358351e-10,Reject
329,Woods102-v0,mean_reliable_classifier_specificity_list,smaller,0.9999999992132824,Accept
330,Woods102-v0,full_knowledge_first_trial_list,two-sided,4.633025718059225e-08,Reject
331,Woods102-v0,full_knowledge_first_trial_list,larger,2.3165128590296126e-08,Reject
332,Woods102-v0,full_knowledge_first_trial_list,smaller,0.9999999768348714,Accept
333,Woods102-v0,full_knowledge_stable_trial_list,two-sided,6.421181120377618e-08,Reject
334,Woods102-v0,full_knowledge_stable_trial_list,larger,3.210590560188809e-08,Reject
335,Woods102-v0,full_knowledge_stable_trial_list,smaller,0.9999999678940944,Accept
