,Maze,Metric,Alternative,P Value,Null Hypothesis
284,Woods101-v0,pees_matching_non_aliased_states_list,smaller,,Accept
285,Woods101-v0,mean_reliable_classifier_specificity_list,two-sided,1.566196061558296e-12,Reject
286,Woods101-v0,mean_reliable_classifier_specificity_list,larger,0.9999999999992168,Accept
287,Woods101-v0,mean_reliable_classifier_specificity_list,smaller,7.83098030779148e-13,Reject
288,Woods101-v0,full_knowledge_first_trial_list,two-sided,4.833745331489955e-68,Reject
289,Woods101-v0,full_knowledge_first_trial_list,larger,1.0,Accept
290,Woods101-v0,full_knowledge_first_trial_list,smaller,2.4168726657449774e-68,Reject
291,Woods101-v0,full_knowledge_stable_trial_list,two-sided,4.833745331489955e-68,Reject
292,Woods101-v0,full_knowledge_stable_trial_list,larger,1.0,Accept
293,Woods101-v0,full_knowledge_stable_trial_list,smaller,2.4168726657449774e-68,Reject
294,Woods101demi-v0,knowledge_list,two-sided,0.0,Reject
295,Woods101demi-v0,knowledge_list,larger,1.0,Accept
296,Woods101demi-v0,knowledge_list,smaller,0.0,Reject
297,Woods101demi-v0,population_list,two-sided,9.486583906026223e-15,Reject
298,Woods101demi-v0,population_list,larger,0.9999999999999952,Accept
299,Woods101demi-v0,population_list,smaller,4.743291953013111e-15,Reject
300,Woods101demi-v0,reliable_list,two-sided,1.293722079658626e-06,Reject
301,Woods101demi-v0,reliable_list,larger,0.9999993531389602,Accept
302,Woods101demi-v0,reliable_list,smaller,6.46861039829313e-07,Reject
303,Woods101demi-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
304,Woods101demi-v0,pees_matching_non_aliased_states_list,larger,,Accept
305,Woods101demi-v0,pees_matching_non_aliased_states_list,smaller,,Accept
306,Woods101demi-v0,mean_reliable_classifier_specificity_list,two-sided,4.2636547843801765e-25,Reject
307,Woods101demi-v0,mean_reliable_classifier_specificity_list,larger,1.0,Accept
308,Woods101demi-v0,mean_reliable_classifier_specificity_list,smaller,2.1318273921900883e-25,Reject
309,Woods101demi-v0,full_knowledge_first_trial_list,two-sided,1.934683596248905e-141,Reject
310,Woods101demi-v0,full_knowledge_first_trial_list,larger,1.0,Accept
311,Woods101demi-v0,full_knowledge_first_trial_list,smaller,9.673417981244525e-142,Reject
312,Woods101demi-v0,full_knowledge_stable_trial_list,two-sided,1.934683596248905e-141,Reject
